District,Crop,Soil Type,Rainfall (mm),Temperature (Â°C),Growing Season (months),Market Demand,Yield (kg/ha),Pest/Disease Issues  
Adilabad,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Adilabad,Cotton,Semi-arid,600,25-35,6,Medium,600,Bollworm  
Adilabad,Maize,Deep Black Cotton Soil,900,22-30,5,Medium,3000,Fall Armyworm  
Adilabad,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Karimnagar,Cotton,Semi-arid,550,25-35,6,High,700,Boll Rot  
Karimnagar,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Karimnagar,Sunflower,Deep Black Cotton Soil,600,25-30,5,Medium,1800,Sunflower Moth  
Karimnagar,Groundnut,Red Sandy Loam,800,22-30,4,High,1000,Leaf Spot  
Warangal,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Warangal,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Warangal,Cotton,Semi-arid,700,25-35,6,High,700,Bollworm  
Warangal,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Khammam,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Khammam,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Khammam,Paddy,Flood Prone Alluvial Soil,1200,25-35,6,High,4000,Blast  
Khammam,Chilli,Red Sandy Loam,900,20-30,5,High,2000,Chilli Leaf Curl Virus  
Nalgonda,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Nalgonda,Groundnut,Semi-arid,700,20-30,4,Medium,1000,Leaf Spot  
Nalgonda,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Nalgonda,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Mahabubnagar,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Mahabubnagar,Cotton,Semi-arid,600,25-35,6,High,700,Boll Rot  
Mahabubnagar,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Mahabubnagar,Sunflower,Deep Black Cotton Soil,600,25-30,5,Medium,1800,Sunflower Moth  
Rangareddy,Vegetables,Alluvial Soil,1000,20-30,6,High,15000,Aphids  
Rangareddy,Fruits,Well-drained Red Loam,900,25-30,8,High,20000,Fruit Fly  
Rangareddy,Flowers,Alluvial Soil,800,20-30,6,Medium,12000,Thrips  
Rangareddy,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Hyderabad,Vegetables,Alluvial Soil,900,20-30,6,High,15000,Aphids  
Hyderabad,Fruits,Well-drained Red Loam,900,25-30,8,High,20000,Fruit Fly  
Hyderabad,Flowers,Alluvial Soil,800,20-30,6,Medium,12000,Thrips  
Hyderabad,Spices,Red Sandy Loam,700,20-30,6,Medium,3000,Red Spider Mite  
Medak,Cotton,Semi-arid,600,25-35,6,High,700,Boll Worm  
Medak,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Medak,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Medak,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Nizamabad,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Nizamabad,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Nizamabad,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Nizamabad,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Jagtial,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Jagtial,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Jagtial,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Jagtial,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Peddapalli,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Peddapalli,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Peddapalli,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Peddapalli,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Siddipet,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Siddipet,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Siddipet,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Siddipet,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Kamareddy,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Kamareddy,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Kamareddy,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Kamareddy,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Sangareddy,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Sangareddy,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Sangareddy,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Sangareddy,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot  
Bhadradri Kothagudem,Paddy,Flood Prone Alluvial Soil,1200,25-35,6,High,4000,Blast  
Bhadradri Kothagudem,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Bhadradri Kothagudem,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly  
Jayashankar Bhupalpally,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer  
Jayashankar Bhupalpally,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Jogulamba Gadwal,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm  
Jogulamba Gadwal,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Jogulamba Gadwal,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Jogulamba Gadwal,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Wanaparthy,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm   
Wanaparthy,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Wanaparthy,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Wanaparthy,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Nagarkurnool,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm   
Nagarkurnool,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Nagarkurnool,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Nagarkurnool,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Vikarabad,Vegetables,Alluvial Soil,1000,20-30,6,High,15000,Aphids   
Vikarabad,Fruits,Well-drained Red Loam,900,25-30,8,High,20000,Fruit Fly   
Vikarabad,Flowers,Alluvial Soil,800,20-30,6,Medium,12000,Thrips   
Vikarabad,Spices,Red Sandy Loam,700,20-30,6,Medium,3000,Red Spider Mite   
Rajanna Sircilla,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm   
Rajanna Sircilla,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Rajanna Sircilla,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Rajanna Sircilla,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Mahabubabad,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm   
Mahabubabad,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Mahabubabad,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Mahabubabad,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Suryapet,Cotton,Semi-arid,600,25-35,6,High,700,Bollworm   
Suryapet,Redgram,Well-drained Red Loam,900,20-30,5,Medium,800,Pod Fly   
Suryapet,Soybean,Red Sandy Loam,800,20-30,5,High,1200,Pod Borer   
Suryapet,Turmeric,Well-drained Red Loam,1000,20-30,9,High,2500,Rhizome Rot   
Yadadri Bhuvanagiri,Cotton,Semi-arid,600,25-35,6,High,700,Boll
Mahabubnagar,Apple,Red Sandy Loam,750,20-30,8,Moderate,5000,Aphids
Khammam,Banana,Black Cotton,900,25-35,10,High,20000,Panama Wilt
Warangal,Blackgram,Red Loamy,800,25-32,3,Moderate,800,Aphids
Nizamabad,Chickpea,Black Cotton,700,20-28,4,High,1800,Wilt
Bhadradri Kothagudem,Coconut,Red Sandy Loam,950,25-35,12,High,8000,Mites
Jayashankar Bhupalpally,Coffee,Laterite,900,20-30,10,Low,1000,Berry Borer
Adilabad,Cotton,Black Cotton,850,25-35,6,High,2000,Bollworm
Rangareddy,Grapes,Red Sandy Loam,750,20-32,6,High,10000,Downy Mildew
Karimnagar,Jute,Red Loamy,900,25-35,5,Low,1500,Stem Rot
Medak,Kidneybeans,Black Cotton,800,20-30,3,Moderate,1200,Rust
Mahabubnagar,Lentil,Red Sandy Loam,700,20-28,4,Moderate,1000,Wilt
Nalgonda,Maize,Black Cotton,800,25-35,4,High,5000,Stem Borer
Jagtial,Mango,Red Sandy Loam,850,25-35,12,High,8000,Fruit Fly
Warangal,Mothbeans,Red Loamy,750,25-32,3,Low,700,Pod Borer
Khammam,Mungbeans,Black Cotton,800,25-32,3,Moderate,900,Yellow Mosaic
Sangareddy,Muskmelon,Red Sandy Loam,750,25-35,3,High,15000,Fruit Fly
Vikarabad,Orange,Red Sandy Loam,800,20-32,12,High,12000,Citrus Canker
Medak,Papaya,Black Cotton,850,25-35,10,High,18000,Ring Spot
Adilabad,Pigeonpeas,Red Loamy,800,25-35,6,Moderate,1200,Pod Borer
Rangareddy,Pomegranate,Red Sandy Loam,750,20-32,12,High,6000,Fruit Rot
Sangareddy,Watermelon,Red Sandy Loam,750,25-35,3,High,20000,Fruit Fly
Adilabad,Cotton,Black Cotton,850,25-35,6,High,2000,Bollworm
Adilabad,Paddy,Red Sandy Loam,800,25-35,5,High,5000,Blast
Kamareddy,Sugarcane,Red Loamy,800,25-32,12,High,70000,Red Rot
Kamareddy,Maize,Black Cotton,750,25-35,4,Moderate,4500,Stem Borer
Khammam,Chili,Black Cotton,900,25-35,5,High,7500,Thrips
Khammam,Paddy,Red Sandy Loam,950,25-35,5,High,5000,Blast
Mahabubabad,Paddy,Black Cotton,900,25-35,5,High,5000,Blast
Mahabubabad,Cotton,Red Loamy,850,25-35,6,High,2000,Bollworm
Mahabubnagar,Paddy,Black Cotton,750,25-35,5,High,4500,Sheath Rot
Mahabubnagar,Groundnut,Red Sandy Loam,700,25-32,4,Moderate,1400,Leaf Spot
Medak,Paddy,Black Cotton,800,25-35,5,High,4800,Blast
Medak,Papaya,Red Sandy Loam,850,25-35,10,High,18000,Ring Spot
Nagarkurnool,Paddy,Black Cotton,750,25-35,5,High,4500,Sheath Rot
Nagarkurnool,Redgram,Red Sandy Loam,700,25-32,6,Moderate,1200,Pod Borer
Nalgonda,Paddy,Black Cotton,800,25-35,5,High,5500,Blast
Nalgonda,Maize,Red Sandy Loam,750,25-35,4,High,5000,Stem Borer
Narayanpet,Paddy,Black Cotton,700,25-35,5,High,4500,Blast
Narayanpet,Groundnut,Red Sandy Loam,650,25-32,4,Moderate,1400,Leaf Spot
Nirmal,Paddy,Black Cotton,850,25-35,5,High,5000,Blast
Nirmal,Soybean,Red Sandy Loam,800,25-32,4,Moderate,1800,Rust
Siddipet,Paddy,Black Cotton,850,25-35,5,High,5000,Blast
Siddipet,Cotton,Red Sandy Loam,800,25-35,6,High,2000,Bollworm
Vikarabad,Paddy,Black Cotton,750,25-35,5,High,4500,Blast
Vikarabad,Orange,Red Sandy Loam,800,20-32,12,High,12000,Citrus Canker
Wanaparthy,Paddy,Black Cotton,750,25-35,5,High,5000,Blast
Wanaparthy,Maize,Red Sandy Loam,700,25-35,4,Moderate,4500,Fall Armyworm
Warangal,Paddy,Black Cotton,900,25-35,5,High,5500,Blast
Warangal,Cotton,Red Loamy,850,25-35,6,High,2000,Bollworm
Warangal,Redgram,Red Sandy Loam,800,25-35,6,Moderate,1200,Pod Borer
Nizamabad,Bengal Gram,Black Cotton,700,20-28,4,High,1800,Wilt
Adilabad,Bengal Gram,Red Sandy Loam,750,20-30,4,Moderate,1600,Root Rot
Khammam,Chillies,Black Cotton,900,25-35,5,High,7500,Thrips
Warangal,Chillies,Red Loamy,850,25-35,5,High,7000,Anthracnose
Adilabad,Cotton,Black Cotton,850,25-35,6,High,2000,Bollworm
Siddipet,Cotton,Red Sandy Loam,800,25-35,6,High,1900,Pink Bollworm
Mahabubnagar,Groundnut,Red Sandy Loam,700,25-32,4,Moderate,1400,Leaf Spot
Nalgonda,Groundnut,Black Cotton,750,25-35,4,Moderate,1500,Tikka Disease
Nalgonda,Maize,Red Sandy Loam,750,25-35,4,High,5000,Stem Borer
Warangal,Maize,Black Cotton,850,25-35,4,High,4800,Fall Armyworm
Khammam,Paddy,Black Cotton,950,25-35,5,High,5000,Blast
Nirmal,Paddy,Red Sandy Loam,850,25-35,5,High,5200,Sheath Rot
Warangal,Redgram,Red Loamy,800,25-35,6,Moderate,1200,Pod Borer
Mahabubabad,Redgram,Black Cotton,850,25-35,6,Moderate,1100,Sterility Mosaic
